platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Amazon Prime,s6579,Far Too Personal,Movie,2020,16+,103.0,min,Comedy,"Comedy, Drama",,,Marta Ferencová,"Natalia is thirty-year-old,lives alone, works at a design studio and likes her live as is and has a best friend Simona who is freshly divorced, and her 11 year old son goes to live with his father Stano, forcing her to start her life from the beginning. Natalia falls in love with widower Marek. But life is not always just a nice dream and sometimes it is neccessary to fight for it."
Amazon Prime,s6580,F-Stops,Movie,2021,18+,89.0,min,Comedy,"Comedy, Drama",,,Jeffrey Bassetti,"Gabe has a burning fire in him to make his mark on Hollywood with his crime spree movie, but no one wants to give him funding. After a chance encounter with a thief named Gideon, Gabe decides to shoot his movie robbing convenience stores. There's just one little problem; Gideon has been keeping the money. Now the filmmakers are wanted felons, with the police hot on their trail."
Amazon Prime,s6581,Every Single Someone,Movie,2021,13+,86.0,min,Horror,"Horror, Suspense",,,Samuel Marko,"Reeling from a recent breakup, college student Lee convinces his friends to help him hire an internet contract killer to murder his ex-girlfriend. As their plan's ramifications take shape, the emboldened teens mount a campaign of violence."
Amazon Prime,s6582,Europa Report,Movie,2013,PG-13,90.0,min,Drama,"Drama, Science Fiction, Suspense",,,Sebastián Cordero,"When unmanned probes suggest that a hidden ocean could exist underneath Europa's icy surface and may contain single-celled life, Europa Ventures, a privately funded space exploration company, sends six of the best astronauts from around the world to confirm the data and explore the revolutionary discovery."
Amazon Prime,s6583,Erica Rhodes: La Vie en Rhodes,Movie,2021,18+,61.0,min,Arts,"Arts, Entertainment, and Culture, Comedy",,,Brian Volk-Weiss,"Erica Rhodes brings her confessional comedy style to the legendary Rose Bowl. With topics like non-motivational quotes, emoji etiquette, bad grammar & narcissistic exes, she highlights the absurd in all of life's struggles."
Amazon Prime,s6584,Edge Of Dawn,Movie,2016,13+,106.0,min,Adventure,"Adventure, Suspense",,,Jesse Stanley,"After college students, Nick and Stephanie are involved in an auto accident on a lonely stretch of road, they find aid from a local living nearby. Little do they know, this man has set a trap and intends to take them captive for terrifying reasons."
Amazon Prime,s6585,Double Solid Love,TV Show,2016,13+,1.0,season,TV Shows,TV Shows,,,,"Four dramatic stories that have happened to brutal men on their roads, and in which women are dramatically involved. If you look closely, you will notice that some of these four stories intricately intertwined with each other."
Amazon Prime,s6586,Dance Academy: The Comeback,Movie,2018,16+,100.0,min,Kids,Kids,,,Jeffrey Walker,"Tara Webster was destined to become one of the top dancers of her generation before a devastating injury crippled her career. In her quest to defy the odds and make her comeback, Tara will discover what being defined by a dream really means."
Amazon Prime,s6587,Daddy Issues,Movie,2021,18+,127.0,min,Comedy,Comedy,,,Johnny Perkins,"When unforeseen circumstances alter the plans of a glass-half-empty family, forcing them to come together for a week, they come face to face with decades of family issues and drama that needs to be rectified so that true healing can begin."
Amazon Prime,s6588,Celebrity Crush,Movie,2021,18+,78.0,min,Comedy,"Comedy, Horror",,,Oliver Robins,A delusional fan imprisons the star of an 80's horror movie with the hope of making him fall in love with her.
